".smooth",".type",".by",".estimate",".se","log_ircw_z","timeindex","region",".lower_ci",".upper_ci"
"s(timeindex):regionchungbuk","TPRS","region",3.22435742178438,0.143153162596687,NA,3.38383838383838,"chungbuk",2.94378237882187,3.50493246474689
"s(timeindex):regionchungbuk","TPRS","region",3.38537849303518,0.146834894095613,NA,3.97979797979798,"chungbuk",3.09758738893403,3.67316959713633
"s(timeindex):regionchungbuk","TPRS","region",3.49310287030175,0.142782320617156,NA,4.57575757575758,"chungbuk",3.21325466426307,3.77295107634043
"s(timeindex):regionchungbuk","TPRS","region",3.54896207729002,0.137331144182994,NA,5.17171717171717,"chungbuk",3.27979798073567,3.81812617384436
"s(timeindex):regionchungbuk","TPRS","region",3.55778643779225,0.135604961550424,NA,5.76767676767677,"chungbuk",3.29200559702847,3.82356727855602
"s(timeindex):regionchungbuk","TPRS","region",3.52741124928703,0.137064356187052,NA,6.36363636363636,"chungbuk",3.25877004759624,3.79605245097782
"s(timeindex):regionchungbuk","TPRS","region",3.46577173905197,0.137952392298207,NA,6.95959595959596,"chungbuk",3.19539001856634,3.7361534595376
"s(timeindex):regionchungbuk","TPRS","region",3.38017934593259,0.136264834993831,NA,7.55555555555556,"chungbuk",3.11310517698538,3.64725351487979
"s(timeindex):regionchungbuk","TPRS","region",3.27562631072306,0.133768560642583,NA,8.15151515151515,"chungbuk",3.01344474959983,3.53780787184628
"s(timeindex):regionchungbuk","TPRS","region",3.15536883646758,0.132571804539245,NA,8.74747474747475,"chungbuk",2.89553287420518,3.41520479872999
"s(timeindex):regionchungbuk","TPRS","region",3.02064438075601,0.132610980016179,NA,9.34343434343434,"chungbuk",2.76073163596974,3.28055712554229
"s(timeindex):regionchungbuk","TPRS","region",2.87178631421975,0.131971771364983,NA,9.93939393939394,"chungbuk",2.61312639536843,3.13044623307108
"s(timeindex):regionchungbuk","TPRS","region",2.70859795479037,0.129515166030549,NA,10.5353535353535,"chungbuk",2.45475289391877,2.96244301566197
"s(timeindex):regionchungbuk","TPRS","region",2.5310151844062,0.126937587344144,NA,11.1313131313131,"chungbuk",2.28222208492727,2.77980828388513
"s(timeindex):regionchungbuk","TPRS","region",2.33924237121676,0.126290941015565,NA,11.7272727272727,"chungbuk",2.09171667525258,2.58676806718094
"s(timeindex):regionchungbuk","TPRS","region",2.13397738598499,0.127720879451758,NA,12.3232323232323,"chungbuk",1.88364906218576,2.38430570978421
"s(timeindex):regionchungbuk","TPRS","region",1.91659912582015,0.128979533276687,NA,12.9191919191919,"chungbuk",1.66380388585505,2.16939436578524
"s(timeindex):regionchungbuk","TPRS","region",1.68931284997223,0.127906021574165,NA,13.5151515151515,"chungbuk",1.43862165428106,1.94000404566339
"s(timeindex):regionchungbuk","TPRS","region",1.45596986687203,0.125110166747937,NA,14.1111111111111,"chungbuk",1.21075844594627,1.70118128779779
